ID,Ime,Godine,Grad,Prosek,Datum_upisa,Datum_diplomiranja,ESPB,Email,Telefon,Trajanje_studija,Godina_upisa
1,Milica,24,Nis,8.0,2017-09-10,,60,student@uni.rs,+381612345678,,2017.0
2,Petar,27,Nis,7.5,2020-11-01,2025-07-01,119,ana@gmail.com,,4.6657534246575345,2020.0
5,Ivana,27,Novi Sad,10.0,2017-09-10,2023-06-15,240,jelena@hotmail.com,+381612345678,5.764383561643836,2017.0
8,Jelena,20,Nis,8.0,2017-09-10,,119,marko@yahoo.com,+381612345678,,2017.0
9,Milica,25,nepoznat,10.0,,2025-07-01,60,marko@yahoo.com,,,
12,Stefan,23,Novi Sad,9.0,2020-11-01,,240,marko@yahoo.com,,,2020.0
13,Ivana,24,Nis,6.0,2019-10-01,,119,student@uni.rs,+381641234567,,2019.0
15,Stefan,26,Novi Sad,9.107142857142858,,2021-05-20,119,jelena@hotmail.com,+381641234567,,
17,Jelena,22,nepoznat,10.0,,2025-07-01,119,marko@yahoo.com,,,
19,Ivana,24,nepoznat,9.0,,,120,marko@yahoo.com,,,
21,Stefan,27,Nis,9.0,2017-09-10,,180,ana@gmail.com,+381641234567,,2017.0
23,Nikola,30,Nis,8.0,2020-11-01,,240,marko@yahoo.com,+381601234567,,2020.0
24,Marko,20,Novi Sad,10.0,2020-11-01,2021-05-20,119,ana@gmail.com,,0.547945205479452,2020.0
26,Ivana,21,nepoznat,9.0,2017-09-10,,119,ana@gmail.com,,,2017.0
28,nepoznat,25,nepoznat,8.0,2018-09-15,,119,marko@yahoo.com,+381612345678,,2018.0
30,Nikola,24,Kragujevac,7.5,2018-09-15,,0,student@uni.rs,,,2018.0
32,Marija,20,nepoznat,9.107142857142858,2018-09-15,2025-07-01,120,marko@yahoo.com,,6.7972602739726025,2018.0
35,nepoznat,21,Novi Sad,10.0,2020-11-01,,119,jelena@hotmail.com,+381612345678,,2020.0
36,Jovan,24,Novi Sad,10.0,2020-11-01,2021-05-20,240,ana@gmail.com,+381641234567,0.547945205479452,2020.0
37,nepoznat,24,Nis,7.5,,,240,student@uni.rs,,,
39,Jelena,25,Nis,9.0,2017-09-10,2025-07-01,119,jelena@hotmail.com,,7.810958904109589,2017.0
40,nepoznat,26,nepoznat,7.5,2019-10-01,2025-07-01,119,marko@yahoo.com,,5.7534246575342465,2019.0
43,Marija,30,Beograd,10.0,,,119,ana@gmail.com,+381612345678,,
45,Ivana,30,Novi Sad,6.0,2017-09-10,2021-05-20,180,student@uni.rs,,3.6931506849315068,2017.0
46,Jelena,20,Novi Sad,9.107142857142858,,2025-07-01,119,marko@yahoo.com,,,
48,Ivana,27,Beograd,8.0,2020-11-01,2024-07-01,119,ana@gmail.com,+381641234567,3.665753424657534,2020.0
49,Marija,24,nepoznat,10.0,2019-10-01,,0,marko@yahoo.com,,,2019.0
53,Marija,25,Kragujevac,9.107142857142858,2018-09-15,2021-05-20,240,marko@yahoo.com,+381612345678,2.6794520547945204,2018.0
55,Marko,20,Kragujevac,6.0,2018-09-15,,0,marko@yahoo.com,,,2018.0
58,Jovan,30,nepoznat,9.0,2017-09-10,2024-07-01,119,jelena@hotmail.com,+381612345678,6.810958904109589,2017.0
59,Ivana,25,Kragujevac,10.0,,2025-07-01,0,ana@gmail.com,+381612345678,,
60,Marko,20,Novi Sad,9.0,2018-09-15,,180,jelena@hotmail.com,,,2018.0
63,nepoznat,24,nepoznat,10.0,2018-09-15,2023-06-15,119,jelena@hotmail.com,+381641234567,4.750684931506849,2018.0
64,Milica,30,Nis,10.0,,,119,marko@yahoo.com,,,
67,Jelena,29,Nis,10.0,2020-11-01,,119,jelena@hotmail.com,+381601234567,,2020.0
68,Ana,22,Nis,9.0,2020-11-01,2023-06-15,119,jelena@hotmail.com,,2.6191780821917807,2020.0
70,Marko,23,Nis,8.0,,2025-07-01,180,ana@gmail.com,,,
71,Stefan,26,Beograd,9.0,2019-10-01,,240,jelena@hotmail.com,+381601234567,,2019.0
72,Petar,23,Beograd,10.0,,2025-07-01,119,student@uni.rs,,,
73,Marko,28,Novi Sad,9.0,,,119,jelena@hotmail.com,,,
75,Nikola,27,nepoznat,8.0,2020-11-01,2021-05-20,0,marko@yahoo.com,+381612345678,0.547945205479452,2020.0
76,Jovan,26,nepoznat,9.0,2017-09-10,,120,student@uni.rs,,,2017.0
77,Petar,21,Nis,6.0,2017-09-10,,120,student@uni.rs,,,2017.0
81,nepoznat,24,Novi Sad,6.0,2020-11-01,2023-06-15,119,ana@gmail.com,,2.6191780821917807,2020.0
82,Marko,28,Nis,9.0,2020-11-01,2025-07-01,119,marko@yahoo.com,,4.6657534246575345,2020.0
84,Petar,21,Nis,9.107142857142858,2018-09-15,,240,student@uni.rs,,,2018.0
86,Milica,25,Novi Sad,10.0,2018-09-15,,119,jelena@hotmail.com,+381641234567,,2018.0
87,nepoznat,29,nepoznat,9.0,2020-11-01,,119,jelena@hotmail.com,+381601234567,,2020.0
89,Stefan,26,Beograd,8.0,,,60,jelena@hotmail.com,+381612345678,,
90,Ivana,24,Kragujevac,9.107142857142858,,2024-07-01,119,ana@gmail.com,+381641234567,,
92,Ivana,28,Nis,8.0,2017-09-10,,119,jelena@hotmail.com,+381612345678,,2017.0
94,Jovan,24,Kragujevac,7.5,,,0,jelena@hotmail.com,+381601234567,,
95,Marija,20,Beograd,9.0,2017-09-10,2023-06-15,60,marko@yahoo.com,,5.764383561643836,2017.0
96,nepoznat,21,Nis,9.0,,,240,ana@gmail.com,,,
97,nepoznat,20,Nis,9.0,2017-09-10,,119,marko@yahoo.com,,,2017.0
98,nepoznat,25,Novi Sad,10.0,2019-10-01,2023-06-15,60,marko@yahoo.com,,3.706849315068493,2019.0
100,Ana,24,Kragujevac,9.0,2019-10-01,2023-06-15,119,ana@gmail.com,+381612345678,3.706849315068493,2019.0
101,Marija,24,Novi Sad,9.0,2017-09-10,2021-05-20,119,ana@gmail.com,+381601234567,3.6931506849315068,2017.0
102,Milica,30,Kragujevac,7.5,2018-09-15,,119,ana@gmail.com,,,2018.0
103,Marija,26,Nis,7.5,2017-09-10,,60,ana@gmail.com,+381641234567,,2017.0
104,Stefan,28,Beograd,9.0,2018-09-15,2025-07-01,0,ana@gmail.com,+381612345678,6.7972602739726025,2018.0
106,nepoznat,22,Nis,9.0,2017-09-10,2021-05-20,0,jelena@hotmail.com,+381601234567,3.6931506849315068,2017.0
107,Stefan,22,Kragujevac,9.0,2018-09-15,2025-07-01,180,marko@yahoo.com,+381641234567,6.7972602739726025,2018.0
108,Stefan,22,nepoznat,10.0,,,119,ana@gmail.com,+381601234567,,
109,nepoznat,23,Nis,6.0,2020-11-01,2023-06-15,180,student@uni.rs,+381641234567,2.6191780821917807,2020.0
110,Jelena,27,Novi Sad,9.0,2019-10-01,,60,jelena@hotmail.com,+381641234567,,2019.0
111,Ana,25,Beograd,8.0,2018-09-15,2025-07-01,119,jelena@hotmail.com,,6.7972602739726025,2018.0
112,Stefan,27,Kragujevac,9.0,2019-10-01,,180,marko@yahoo.com,+381612345678,,2019.0
116,nepoznat,30,Beograd,6.0,,,120,jelena@hotmail.com,,,
119,Milica,23,Nis,10.0,,2023-06-15,60,marko@yahoo.com,+381612345678,,
121,Marija,27,Beograd,10.0,2019-10-01,,119,jelena@hotmail.com,,,2019.0
124,Marija,22,Novi Sad,8.0,2019-10-01,2023-06-15,60,jelena@hotmail.com,+381601234567,3.706849315068493,2019.0
125,Stefan,25,Nis,10.0,2019-10-01,,119,jelena@hotmail.com,+381612345678,,2019.0
126,nepoznat,28,Novi Sad,9.0,2020-11-01,,0,ana@gmail.com,+381601234567,,2020.0
128,Ana,28,Nis,8.0,2017-09-10,,180,ana@gmail.com,,,2017.0
129,Milica,20,Beograd,10.0,,,180,marko@yahoo.com,,,
130,Milica,21,nepoznat,9.107142857142858,,,120,ana@gmail.com,+381612345678,,
131,Stefan,25,Novi Sad,6.0,,,60,student@uni.rs,+381601234567,,
132,Ivana,21,Nis,7.5,2017-09-10,2021-05-20,0,ana@gmail.com,+381612345678,3.6931506849315068,2017.0
133,Jelena,21,nepoznat,7.5,2017-09-10,2023-06-15,0,student@uni.rs,+381641234567,5.764383561643836,2017.0
136,Nikola,20,Nis,8.0,,,119,jelena@hotmail.com,+381612345678,,
137,nepoznat,28,Novi Sad,10.0,2017-09-10,2025-07-01,60,student@uni.rs,+381612345678,7.810958904109589,2017.0
139,Ana,20,Kragujevac,9.107142857142858,,,0,ana@gmail.com,+381601234567,,
140,Jelena,23,nepoznat,6.0,2018-09-15,,180,student@uni.rs,+381601234567,,2018.0
144,Ivana,23,Nis,9.107142857142858,,2025-07-01,119,ana@gmail.com,+381601234567,,
145,Jovan,27,nepoznat,6.0,2020-11-01,2024-07-01,119,marko@yahoo.com,,3.665753424657534,2020.0
146,Milica,27,nepoznat,8.0,,2025-07-01,119,ana@gmail.com,+381641234567,,
148,nepoznat,22,Beograd,7.5,2017-09-10,2023-06-15,180,student@uni.rs,,5.764383561643836,2017.0
149,Marija,20,Nis,9.107142857142858,2020-11-01,,60,jelena@hotmail.com,,,2020.0
150,Jovan,20,Kragujevac,6.0,,2024-07-01,119,marko@yahoo.com,,,
151,Jovan,24,Novi Sad,9.0,2017-09-10,2023-06-15,120,ana@gmail.com,,5.764383561643836,2017.0
153,Jelena,22,Nis,8.0,2018-09-15,,119,marko@yahoo.com,,,2018.0
154,Milica,25,nepoznat,6.0,2018-09-15,,119,student@uni.rs,,,2018.0
155,Ana,26,Nis,10.0,2017-09-10,,240,marko@yahoo.com,+381612345678,,2017.0
156,Petar,25,Nis,6.0,2020-11-01,,240,student@uni.rs,+381641234567,,2020.0
157,Petar,25,Beograd,7.5,2020-11-01,2025-07-01,119,ana@gmail.com,,4.6657534246575345,2020.0
158,Ivana,25,Nis,6.0,,,119,student@uni.rs,,,
159,Milica,25,Nis,8.0,2019-10-01,2021-05-20,119,marko@yahoo.com,,1.6356164383561644,2019.0
162,Petar,22,nepoznat,10.0,2017-09-10,2023-06-15,0,marko@yahoo.com,+381601234567,5.764383561643836,2017.0
163,Milica,25,Beograd,9.107142857142858,2018-09-15,,0,student@uni.rs,+381641234567,,2018.0
165,Jelena,30,Kragujevac,9.0,2019-10-01,,0,student@uni.rs,,,2019.0
167,nepoznat,21,Novi Sad,10.0,,2023-06-15,180,student@uni.rs,+381612345678,,
168,Marko,24,Nis,9.107142857142858,2017-09-10,2023-06-15,180,ana@gmail.com,,5.764383561643836,2017.0
169,Jovan,25,Beograd,10.0,2018-09-15,2023-06-15,240,jelena@hotmail.com,+381601234567,4.750684931506849,2018.0
170,Marija,20,Kragujevac,9.0,2017-09-10,,120,marko@yahoo.com,,,2017.0
171,Ivana,24,nepoznat,8.0,2017-09-10,,120,jelena@hotmail.com,+381612345678,,2017.0
172,Nikola,20,Nis,10.0,2019-10-01,2024-07-01,60,student@uni.rs,+381601234567,4.7534246575342465,2019.0
174,nepoznat,24,Nis,10.0,,,240,marko@yahoo.com,+381612345678,,
175,nepoznat,20,Kragujevac,10.0,2017-09-10,,120,student@uni.rs,,,2017.0
178,nepoznat,22,Nis,7.5,2018-09-15,,0,student@uni.rs,+381612345678,,2018.0
179,Jovan,20,Nis,8.0,2020-11-01,2021-05-20,240,jelena@hotmail.com,,0.547945205479452,2020.0
180,Milica,20,nepoznat,6.0,2019-10-01,2025-07-01,119,marko@yahoo.com,+381641234567,5.7534246575342465,2019.0
181,nepoznat,24,Kragujevac,10.0,,2025-07-01,119,jelena@hotmail.com,,,
182,Marija,24,Nis,9.0,2018-09-15,2021-05-20,119,marko@yahoo.com,+381601234567,2.6794520547945204,2018.0
183,Milica,25,Kragujevac,6.0,,,119,student@uni.rs,,,
184,Ana,20,Nis,9.0,2017-09-10,2021-05-20,120,ana@gmail.com,,3.6931506849315068,2017.0
186,Marija,24,nepoznat,8.0,2017-09-10,2024-07-01,180,student@uni.rs,+381601234567,6.810958904109589,2017.0
187,nepoznat,25,Nis,10.0,2018-09-15,,240,jelena@hotmail.com,,,2018.0
191,Jelena,24,Nis,6.0,2020-11-01,,119,marko@yahoo.com,+381641234567,,2020.0
192,Milica,27,Nis,6.0,2018-09-15,2023-06-15,0,jelena@hotmail.com,+381641234567,4.750684931506849,2018.0
194,Stefan,20,nepoznat,9.0,,2025-07-01,120,jelena@hotmail.com,,,
195,nepoznat,25,Beograd,9.107142857142858,2017-09-10,,180,marko@yahoo.com,,,2017.0
196,Marija,24,Novi Sad,9.107142857142858,2017-09-10,2021-05-20,60,student@uni.rs,+381641234567,3.6931506849315068,2017.0
197,Ivana,22,Nis,7.5,2018-09-15,,119,student@uni.rs,,,2018.0
199,Jelena,20,nepoznat,7.5,2020-11-01,2025-07-01,120,student@uni.rs,,4.6657534246575345,2020.0
200,Jovan,23,Novi Sad,9.0,2020-11-01,2023-06-15,119,student@uni.rs,,2.6191780821917807,2020.0
201,nepoznat,28,nepoznat,9.107142857142858,2018-09-15,,120,student@uni.rs,,,2018.0
202,Milica,24,Novi Sad,9.0,2017-09-10,,119,student@uni.rs,,,2017.0
203,Marko,24,nepoznat,9.0,2020-11-01,2025-07-01,119,student@uni.rs,,4.6657534246575345,2020.0
204,nepoznat,21,Beograd,9.0,,2023-06-15,119,ana@gmail.com,+381641234567,,
205,Ana,24,Beograd,10.0,,,60,student@uni.rs,,,
206,Marija,24,Nis,10.0,,,120,student@uni.rs,+381612345678,,
212,Jelena,21,Nis,9.0,2019-10-01,2021-05-20,240,student@uni.rs,,1.6356164383561644,2019.0
214,Jelena,30,nepoznat,9.0,,2025-07-01,60,student@uni.rs,,,
216,Jovan,20,Nis,10.0,2019-10-01,,0,ana@gmail.com,+381612345678,,2019.0
217,Marija,24,Beograd,8.0,2019-10-01,2021-05-20,180,ana@gmail.com,+381612345678,1.6356164383561644,2019.0
218,Marko,26,Nis,6.0,2019-10-01,,120,marko@yahoo.com,+381612345678,,2019.0
221,Ivana,24,nepoznat,9.0,2017-09-10,2021-05-20,120,jelena@hotmail.com,+381641234567,3.6931506849315068,2017.0
223,Petar,28,Nis,9.0,2020-11-01,,119,jelena@hotmail.com,+381612345678,,2020.0
224,Petar,23,Kragujevac,8.0,,2025-07-01,119,marko@yahoo.com,,,
